Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670422561848;8.43526;0.20118;4.39247;-29.81999;27.29999;-7.42;986.49512;0;0;1;0;1
1670422561949;10.30098;-1.08973;7.17308;-37.86999;24.91999;3.15;986.51099;0;0;1;0;1
1670422562053;10.38241;-1.67412;9.30226;-0.56;18.40999;-0.07;986.54224;0;0;1;0;1
1670422562151;10.25068;-0.99154;5.88935;16.16999;7.07;10.43;986.56152;0;0;1;0;1
1670422562255;11.60866;-0.43589;5.87738;1.19;-6.09;4.2;986.59692;0;0;1;0;1
1670422562357;12.33196;-0.98435;7.3096;-2.94;-4.41;0.98;986.62354;0;0;1;0;1
1670422562463;12.502;-0.83107;7.2114;5.32;-9.66;-3.08;986.63892;0;0;1;0;1
1670422562561;10.37762;-0.24669;3.51828;-1.12;-15.81999;-5.53;986.63574;0;0;0;1;1
1670422562665;9.9561;-0.17963;4.65831;3.15;-18.26999;-11.97;986.62817;0;0;0;1;1
1670422562765;8.8472;0.24669;3.83443;4.55;-13.50999;-6.58;986.59961;0;0;0;1;1
1670422562866;5.61872;-0.27064;2.43573;13.64999;-26.03999;-7.28;986.59229;0;0;0;1;1
1670422562967;5.7696;-0.51732;3.58534;10.92;-45.63998;-10.22;986.59692;0;0;0;1;1
1670422563068;7.62814;0.48619;1.97829;18.40999;-43.95998;-12.6;986.59033;0;0;0;1;1
1670422563169;7.82453;0.71851;0.85502;16.30999;-20.71999;-2.66;986.58398;0;0;0;1;1
1670422563270;9.84593;1.71004;0.94124;2.94;32.82999;14.76999;986.5498;0;0;0;1;1
1670422563371;6.43063;1.00591;1.7771;1.96;44.86998;4.34;986.54224;0;0;0;1;1
1670422563474;6.21747;-0.69695;1.16637;-4.13;44.79998;18.05999;986.52319;0;0;1;0;1
1670422563575;7.56347;-0.69456;3.62845;-11.34;35.13999;17.14999;986.53247;0;0;1;0;1
1670422563675;8.28916;-0.11496;4.72058;-8.89;37.51999;6.51;986.54126;0;0;1;0;1
1670422563778;9.67348;-0.867;5.73368;-25.89999;32.33999;11.55;986.54321;0;0;1;0;1
1670422563883;11.27336;-2.46448;10.16207;-22.32999;34.57999;8.61;986.55322;0;0;1;0;1
1670422563982;12.14275;-1.89207;9.22083;-3.22;12.74;3.64;986.55859;0;0;1;0;1
1670422564082;11.55357;-1.49928;9.27352;6.86;-12.6;-10.78;986.58667;0;0;1;0;1
1670422564182;10.76322;-1.11608;7.95147;7.35;-27.22999;-5.6;986.58618;0;0;1;0;1
1670422564286;9.73336;-0.95801;6.81623;11.55;-19.80999;-5.11;986.58936;0;0;1;0;1
1670422564390;9.83635;-0.41673;4.905;11.55;-29.74999;-3.64;986.57397;0;0;0;1;1
1670422564490;9.63756;-0.09101;4.1817;12.39;-38.77999;-11.83;986.55249;0;0;0;1;1
1670422564590;7.2593;0.31854;2.18186;4.83;-33.17999;-17.21999;986.56909;0;0;0;1;1
1670422564691;7.41977;0.59875;2.22497;-4.76;-21.06999;-12.11;986.53271;0;0;0;1;1
1670422564792;6.96711;0.67779;1.94236;-7.77;-23.30999;-13.85999;986.50757;0;0;0;1;1
1670422564894;7.02938;0.35925;1.6813;-5.32;-16.51999;-5.95;986.48608;0;0;0;1;1
1670422564994;9.45075;0.19639;2.38304;-3.5;-6.93;5.39;986.46533;0;0;0;1;1
1670422565095;9.07473;0.80473;1.60227;2.38;10.5;5.32;986.45703;0;0;0;1;1
1670422565197;7.21859;0.5772;0.46224;-7.14;26.94999;8.54;986.4585;0;0;1;0;1
1670422565298;8.23647;0.57001;2.41418;-5.74;48.71998;15.88999;986.45264;0;0;1;0;1
1670422565398;7.65688;-0.71851;3.98052;-1.54;44.02998;15.67999;986.40503;0;0;1;0;1
1670422565499;9.01246;-0.50774;4.8068;-3.85;31.98999;13.01999;986.40869;0;0;1;0;1
1670422565601;8.21252;-0.97238;5.75284;-7.07;22.32999;8.05;986.41919;0;0;1;0;1
1670422565700;7.97781;-0.50295;5.48459;-9.38;18.47999;1.54;986.4292;0;0;1;0;1
1670422565803;8.21971;-1.41546;7.37427;-15.12;9.66;-1.61;986.43823;0;0;1;0;1
1670422565902;9.41003;-1.32445;7.87003;-6.58;9.87;-1.19;986.46069;0;0;1;0;1
1670422566003;8.78493;-1.825;7.597;-0.91;14.0;5.04;986.46631;0;0;1;0;1
1670422566106;10.79435;-1.50168;9.00767;-2.52;1.75;-2.03;986.49487;0;0;1;0;1
1670422566205;10.73208;-1.19032;8.55501;3.36;-14.90999;-4.83;986.48975;0;0;0;1;1
1670422566310;10.40876;-1.12566;7.57784;5.6;-14.76999;-0.84;986.50195;0;0;0;1;1
1670422566410;9.35016;-1.09452;6.33722;6.37;-15.46999;-3.15;986.49634;0;0;0;1;1
1670422566511;8.67955;-0.57001;5.09421;5.67;-17.77999;-4.34;986.48462;0;0;0;1;1
1670422566613;8.68434;-0.65863;5.31455;4.2;-23.23999;-7.0;986.47632;0;0;0;1;1
1670422566715;9.15856;-0.71851;4.77806;5.18;-29.04999;-7.77;986.47412;0;0;0;1;1
1670422566815;9.03641;-0.16765;4.0404;7.49;-28.20999;-11.89999;986.47266;0;0;0;1;1
1670422566922;8.0784;0.0479;2.92432;11.76;-29.95999;-11.83;986.45435;0;0;0;1;1
1670422567023;8.30593;0.41673;2.23216;8.05;-20.99999;-5.46;986.44775;0;0;0;1;1
1670422567123;8.29635;0.47661;2.45011;2.03;-13.85999;-5.88;986.42456;0;0;0;1;1
1670422567225;7.24254;0.06706;2.13396;0.98;-10.43;-3.43;986.39209;0;0;0;1;1
1670422567326;10.65065;0.87897;2.96743;-0.28;0.7;4.41;986.37646;0;0;0;1;1
1670422567429;9.35974;0.25866;2.22976;-1.19;1.4;-0.14;986.38672;0;0;1;0;1
1670422567527;9.44596;0.41194;2.90755;-6.09;11.06;3.36;986.39868;0;0;1;0;1
1670422567629;7.56826;0.03832;2.68482;-4.83;21.41999;4.27;986.37769;0;0;1;0;1
1670422567730;8.31311;0.32812;3.21891;-7.28;28.34999;12.18;986.39624;0;0;1;0;1
1670422567831;7.73591;0.13891;3.38656;-10.08;27.57999;8.96;986.40527;0;0;1;0;1
1670422567932;8.11672;-0.03114;4.038;-6.02;28.69999;7.35;986.41016;0;0;1;0;1
1670422568033;7.99697;-0.92448;4.50982;-11.89999;25.96999;12.74;986.41357;0;0;1;0;1
1670422568134;8.37299;-0.93645;4.96488;-8.75;30.16999;11.06;986.41138;0;0;1;0;1
1670422568236;7.96584;-1.23823;6.38752;-12.53;20.57999;8.33;986.41626;0;0;1;0;1
1670422568338;9.49146;-1.8274;7.24493;-10.15;5.81;5.04;986.43408;0;0;1;0;1
1670422568436;8.98851;-2.03816;8.46879;0.63;8.26;-1.54;986.43677;0;0;1;0;1
1670422568538;8.84481;-1.57113;6.81144;3.08;6.79;6.93;986.43774;0;0;1;0;1
1670422568637;10.93566;-1.65735;8.34664;1.96;-5.11;0.7;986.45972;0;0;0;1;1
1670422568739;10.67221;-1.72441;8.00895;2.03;-5.32;1.19;986.50659;0;0;0;1;1
1670422568842;10.23392;-1.46336;7.47007;5.46;-2.87;-1.96;986.51025;0;0;0;1;1
1670422568943;8.83044;-1.16877;6.55996;6.3;-6.09;-7.0;986.51538;0;0;0;1;1
1670422569044;8.50232;-0.97238;6.12886;-1.33;-10.85;-4.13;986.47534;0;0;0;1;1
1670422569147;8.39694;-1.01309;6.52164;-0.49;-14.06999;-5.04;986.47021;0;0;0;1;1
1670422569248;8.40412;-0.98196;5.61393;5.11;-26.17999;-7.7;986.48022;0;0;0;1;1
1670422569347;8.33706;-0.91969;5.08942;5.39;-36.04999;-11.97;986.47144;0;0;0;1;1
1670422569449;7.97781;-0.48379;3.35303;9.31;-42.90998;-12.88;986.46533;0;0;0;1;1
1670422569550;8.98132;-0.06946;2.9315;6.58;-42.34998;-10.08;986.47461;0;0;0;1;1
1670422569651;7.42456;0.16047;1.8777;7.56;-38.77999;-14.83999;986.45874;0;0;0;1;1
1670422569752;7.34313;0.2419;0.93885;5.6;-24.00999;-7.77;986.44702;0;0;0;1;1
1670422569849;10.80633;0.78317;1.78668;-0.7;-12.11;-1.82;986.4292;0;0;1;0;1
1670422569955;9.79323;0.51014;2.12678;-0.28;-7.84;-6.58;986.44214;0;0;1;0;1
1670422570055;9.77886;0.74485;1.95913;1.89;0.21;-0.98;986.45435;0;0;1;0;1
1670422570156;9.85072;0.60354;2.02379;-0.35;12.74;5.25;986.42725;0;0;1;0;1
1670422570257;9.16095;0.68737;1.43222;1.54;26.03999;11.41;986.40991;0;0;1;0;1
1670422570358;6.60786;0.4814;1.58071;-4.34;41.85999;11.62;986.40649;0;0;1;0;1
1670422570460;5.64267;-0.03114;1.99505;-10.71;43.88998;12.18;986.40039;0;0;1;0;1
1670422570562;9.01964;-0.48379;4.15296;-22.74999;37.86999;17.84999;986.40723;0;0;1;0;1
1670422570662;8.84481;-1.16877;5.48699;-14.55999;34.78999;12.04;986.40698;0;0;1;0;1
1670422570763;8.76338;-1.64538;5.90851;-10.5;33.52999;13.64999;986.3999;0;0;1;0;1
1670422570866;8.23168;-1.80105;6.02826;-14.06999;25.75999;7.7;986.42065;0;0;1;0;1
1670422570968;9.55613;-1.85375;7.12279;-12.53;17.98999;5.25;986.43335;0;0;1;0;1
1670422571073;8.29635;-2.50519;7.34313;-7.91;22.95999;5.67;986.43555;0;0;1;0;1
1670422571170;9.6639;-2.37825;9.56092;-2.94;14.06999;6.02;986.44604;0;0;1;0;1
1670422571273;9.65432;-2.73511;9.39806;6.86;-14.13999;-7.49;986.46045;0;0;0;1;1
1670422571373;9.71659;-1.84177;7.89159;5.39;-14.49;-5.74;986.45483;0;0;0;1;1
1670422571474;9.12023;-1.40348;7.00543;4.97;-4.97;-4.41;986.46094;0;0;0;1;1
1670422571575;8.52627;-1.41546;7.12039;3.85;-9.31;-4.69;986.45923;0;0;0;1;1
1670422571676;8.31551;-1.21428;6.16478;3.22;-15.46999;-5.74;986.448;0;0;0;1;1
1670422571781;8.04966;-1.30289;6.2055;6.16;-24.70999;-7.49;986.45093;0;0;0;1;1
1670422571879;8.29635;-1.11847;5.37921;9.1;-32.19999;-11.41;986.45605;0;0;0;1;1
1670422571981;8.51669;-0.39039;4.36373;10.71;-32.05999;-9.8;986.46411;0;0;0;1;1
1670422572082;8.65321;-0.14131;3.42727;8.47;-32.40999;-8.96;986.43774;0;0;0;1;1
1670422572182;8.29156;-0.40476;2.83091;7.91;-33.66999;-9.59;986.43335;0;0;0;1;1
